Source,Target,Type,timestamp
880boj,1,direct,1522349628.0
8871p5,1,direct,1522405099.0
882pts,1,direct,1522370058.0
881nb7,1,direct,1522362125.0
8865zq,1,direct,1522396819.0
881kig,1,direct,1522361536.0
87zd3m,1,direct,1522337182.0
884b4g,1,direct,1522381576.0
886s8k,1,direct,1522402564.0
87uj6t,1,direct,1522292244.0
882axg,1,direct,1522367050.0
884421,1,direct,1522380065.0
887mc0,1,direct,1522410968.0
886io3,1,direct,1522400014.0
87y0yh,1,direct,1522321719.0
87uzpx,1,direct,1522295716.0
881v25,1,direct,1522363740.0
883q6l,1,direct,1522377221.0
880t9a,1,direct,1522354916.0
881lpv,1,direct,1522361788.0
87uoia,1,direct,1522293357.0
881l7p,1,direct,1522361676.0
886q11,1,direct,1522401959.0
87smee,1,direct,1522278281.0
8839ts,1,direct,1522374017.0
87xpmi,1,direct,1522318637.0
8839fc,1,direct,1522373933.0
881e9y,1,direct,1522360150.0
881cmb,1,direct,1522359770.0
884zwx,1,direct,1522386793.0
884zg6,1,direct,1522386689.0
87y4r8,1,direct,1522322788.0
87wfrp,1,direct,1522307072.0
885t3t,1,direct,1522393663.0
882stb,1,direct,1522370614.0
87x79b,1,direct,1522313864.0
882o3w,1,direct,1522369714.0
87vtef,1,direct,1522301899.0
880vjr,1,direct,1522355539.0
882kmy,1,direct,1522369010.0
882i1t,1,direct,1522368514.0
885cb3,1,direct,1522389631.0
882fqo,1,direct,1522368063.0
87s2vs,1,direct,1522274171.0
882ffx,1,direct,1522368008.0
882f3n,1,direct,1522367930.0
8859vu,1,direct,1522389053.0
880o4f,1,direct,1522353550.0
87rvo7,1,direct,1522272390.0
8828w2,1,direct,1522366626.0
883z6j,1,direct,1522379028.0
8820at,1,direct,1522364817.0
885kao,1,direct,1522391491.0
880asa,1,direct,1522349345.0
881mtf,1,direct,1522362014.0
881j7x,1,direct,1522361263.0
881hxw,1,direct,1522360998.0
87myor,1,direct,1522219984.0
885lyv,1,direct,1522391901.0
8850gz,1,direct,1522386921.0
87xqgp,1,direct,1522318865.0
87x1oq,1,direct,1522312412.0
881aee,1,direct,1522359223.0
87rba7,1,direct,1522267263.0
8811ej,1,direct,1522357035.0
881140,1,direct,1522356959.0
87ztag,1,direct,1522343206.0
87z5m4,1,direct,1522334494.0
87qvp6,1,direct,1522262376.0
880py1,1,direct,1522354027.0
87r6k1,1,direct,1522265829.0
8837z3,1,direct,1522373622.0
880dcs,1,direct,1522350126.0
87u7pv,1,direct,1522289983.0
87q2am,1,direct,1522251631.0
87s6fg,1,direct,1522274931.0
8804k3,1,direct,1522347306.0
87r388,1,direct,1522264731.0
8801rq,1,direct,1522346434.0
87w0fi,1,direct,1522303464.0
87uzzq,1,direct,1522295773.0
88291a,1,direct,1522366654.0
87zy07,1,direct,1522345013.0
87zwpj,1,direct,1522344535.0
87y1ga,1,direct,1522321875.0
87zprb,1,direct,1522341895.0
880qif,1,direct,1522354179.0
87wm98,1,direct,1522308655.0
87zktf,1,direct,1522340077.0
87xkv8,1,direct,1522317406.0
87xieb,1,direct,1522316771.0
87ya3f,1,direct,1522324345.0
87v1p0,1,direct,1522296129.0
882ymp,1,direct,1522371728.0
87vefr,1,direct,1522298675.0
87x8tc,1,direct,1522314253.0
87hfwt,1,direct,1522176605.0
87qvsy,1,direct,1522262413.0
87z5ge,1,direct,1522334429.0
87q6td,1,direct,1522253350.0
87z3uc,1,direct,1522333910.0
87z1vm,1,direct,1522333243.0
87wyt3,1,direct,1522311718.0
87r54i,1,direct,1522265371.0
87xpdi,1,direct,1522318569.0
87o7wq,1,direct,1522231120.0
87my59,1,direct,1522219865.0
87sv3k,1,direct,1522280174.0
87ynt8,1,direct,1522328503.0
87qohy,1,direct,1522260034.0
881ct6,1,direct,1522359812.0
87unrm,1,direct,1522293199.0
87ymky,1,direct,1522328096.0
87ymcc,1,direct,1522328022.0
87ol4h,1,direct,1522234599.0
87ykkg,1,direct,1522327502.0
87uegy,1,direct,1522291330.0
87vdr0,1,direct,1522298528.0
87u7lr,1,direct,1522289959.0
87qf8i,1,direct,1522256476.0
87qu9x,1,direct,1522261876.0
87y8m8,1,direct,1522323920.0
87zweg,1,direct,1522344414.0
87y4l7,1,direct,1522322743.0
87sa4g,1,direct,1522275727.0
87y3t9,1,direct,1522322545.0
87vlhh,1,direct,1522300124.0
87qag9,1,direct,1522254687.0
87qweq,1,direct,1522262613.0
87qhjy,1,direct,1522257369.0
87nqdk,1,direct,1522226660.0
87u8ko,1,direct,1522290159.0
87tj6l,1,direct,1522285037.0
87ysio,1,direct,1522330028.0
87xeww,1,direct,1522315853.0
87rty6,1,direct,1522271972.0
87x591,1,direct,1522313334.0
87lg2f,1,direct,1522208434.0
87veog,1,direct,1522298727.0
87p5na,1,direct,1522240529.0
87wtbx,1,direct,1522310355.0
87rblz,1,direct,1522267348.0
87qs7a,1,direct,1522261170.0
87pkf8,1,direct,1522245462.0
87rjwu,1,direct,1522269482.0
87sbni,1,direct,1522276055.0
87r1m7,1,direct,1522264212.0
87zyda,1,direct,1522345157.0
87s7mh,1,direct,1522275171.0
87wam0,1,direct,1522305859.0
87w1dx,1,direct,1522303690.0
87q5wz,1,direct,1522253029.0
87u5k6,1,direct,1522289575.0
87qtrs,1,direct,1522261712.0
